,target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
4114,exult,['verb'],0,17,17,0.0555555555556,False,False,True,0,may_include_a_root,norel
4167,sadden,['verb'],0,59,59,0.0166666666667,False,True,True,1,complex,norel
4176,assemble,['verb'],0,425,425,0.00234741784038,False,True,True,0,may_include_a_root,norel
4271,dabble,['verb'],0,43,43,0.0227272727273,False,False,True,1,complex,norel
4312,decide,['verb'],0,4479,4479,0.000223214285714,False,True,True,1,monomorphemic,norel
4377,ask,['verb'],0,14651,14651,6.82500682501e-05,True,True,True,1,monomorphemic,norel
4414,rejuvenate,['verb'],0,35,35,0.0277777777778,False,True,True,1,complex,norel
4448,criticize,['verb'],0,498,498,0.00200400801603,False,True,True,1,complex,norel
4524,shrivel,['verb'],0,76,76,0.012987012987,False,True,True,1,monomorphemic,norel
4702,rhapsodize,['verb'],0,2,2,0.333333333333,False,False,True,1,complex,norel
4706,conjoin,['verb'],0,7,7,0.125,False,True,True,0,obscure,norel
4750,threaten,['verb'],0,1127,1127,0.000886524822695,False,True,True,1,complex,norel
4820,romanticize,['verb'],0,18,18,0.0526315789474,False,True,True,1,complex,norel
4858,stagnate,['verb'],0,29,29,0.0333333333333,False,False,True,0,obscure,norel
4937,maraud,['verb'],0,29,29,0.0333333333333,False,False,True,1,monomorphemic,norel
5005,teethe,['verb'],0,56,56,0.0175438596491,False,False,True,1,zero_derivation,norel
5026,evangelize,['verb'],0,3,3,0.25,False,True,True,1,complex,norel
5074,manage,['verb'],0,2289,2289,0.000436681222707,False,True,True,0,obscure,norel
5086,depreciate,['verb'],0,14,14,0.0666666666667,False,True,True,0,obscure,norel
5260,innovate,['verb'],0,27,27,0.0357142857143,False,False,True,0,obscure,norel
5269,bloat,['verb'],0,12,12,0.0769230769231,False,True,True,1,monomorphemic,norel
5346,brighten,['verb'],0,87,87,0.0113636363636,False,True,True,1,complex,norel
5349,hector,['verb'],0,37,37,0.0263157894737,False,True,True,1,monomorphemic,norel
5405,interfere,['verb'],0,390,390,0.00255754475703,False,False,True,0,obscure,norel
5552,lose,['verb'],0,6086,6086,0.000164284540825,True,True,True,1,monomorphemic,norel
5579,percolate,['verb'],0,21,21,0.0454545454545,False,True,True,0,obscure,norel
5612,retrieve,['verb'],0,168,168,0.00591715976331,False,True,True,0,obscure,norel
5618,reciprocate,['verb'],0,34,34,0.0285714285714,False,True,True,1,complex,norel
5689,shunt,['verb'],0,42,42,0.0232558139535,False,True,True,1,monomorphemic,norel
5717,recycle,['verb'],0,178,178,0.00558659217877,False,True,True,1,complex,norel
5721,collaborate,['verb'],0,72,72,0.013698630137,False,False,True,1,complex,norel
5807,survive,['verb'],0,1603,1603,0.000623441396509,False,True,True,0,obscure,norel
5869,operate,['verb'],0,1476,1476,0.000677048070413,False,True,True,0,obscure,norel
5946,abate,['verb'],0,42,42,0.0232558139535,False,True,True,0,may_include_a_root,norel
5956,shush,['verb'],0,25,25,0.0384615384615,False,True,True,1,monomorphemic,norel
5980,foreclose,['verb'],0,13,13,0.0714285714286,False,True,True,0,obscure,norel
6029,worsen,['verb'],0,67,67,0.0147058823529,False,True,True,1,complex,norel
6064,reload,['verb'],0,20,20,0.047619047619,False,True,True,1,complex,norel
6137,wheedle,['verb'],0,30,30,0.0322580645161,False,False,True,1,monomorphemic,norel
6142,deepen,['verb'],0,137,137,0.00724637681159,False,True,True,1,complex,norel
6147,affirm,['verb'],0,103,103,0.00961538461538,False,True,True,1,complex,norel
6163,recuperate,['verb'],0,19,19,0.05,False,True,True,0,obscure,norel
6172,disappear,['verb'],0,1234,1234,0.00080971659919,False,False,True,1,complex,norel
6180,evolve,['verb'],0,438,438,0.00227790432802,False,True,True,0,may_include_a_root,norel
6197,inherit,['verb'],0,435,435,0.00229357798165,False,True,True,1,monomorphemic,norel
6356,addle,['verb'],0,14,14,0.0666666666667,False,True,True,1,monomorphemic,norel
6392,meander,['verb'],0,28,28,0.0344827586207,False,False,True,1,monomorphemic,norel
6401,redouble,['verb'],0,32,32,0.030303030303,False,True,True,1,complex,norel
6425,stiffen,['verb'],0,106,106,0.00934579439252,False,True,True,1,complex,norel
6547,calve,['verb'],0,13,13,0.0714285714286,False,False,True,1,zero_derivation,norel
6558,legislate,['verb'],0,48,48,0.0204081632653,False,False,True,0,obscure,norel
